4007e8	105	0.000000	100	22801754177
4007ed	105	0.000000	100	22801754177
4007f2	45	0.000000	100	22801754177
4007f6	45	0.000000	100	22801754177
4007fa	45	0.039735	100	22801754177
4007fe	45	0.000000	100	22801754177
400800	45	0.019868	100	22801754177
400804	45	0.000000	100	22801754177
400806	45	0.035762	100	22801754177
40080a	45	0.000000	100	22801754177
40081c	45	0.000000	100	22801754177
400820	45	0.051656	100	22801754177
400824	46	0.017219	100	22801754177
400843	46	0.058278	100	22801754177
400848	46	0.017219	100	22801754177
4007e8	70	0.000000	100	37100281
4007ed	70	0.000000	100	37100281
4007f2	30	0.000000	100	37100281
4007f6	30	0.000000	100	37100281
4007fa	30	0.000000	100	37100281
4007fe	30	0.000000	100	37100281
400800	30	0.000000	100	37100281
400804	30	0.000000	100	37100281
400806	30	0.000000	100	37100281
40080a	30	0.000000	100	37100281
40081c	30	0.000000	100	37100281
400820	30	0.000000	100	37100281
400824	31	0.000000	100	37100281
400843	31	0.000000	100	37100281
400848	31	0.000000	100	37100281
4007e8	122	0.000000	1	22801754177
4007ed	122	0.000000	1	22801754177
4007f2	54	0.000040	1	22801754177
4007f6	54	0.000053	1	22801754177
4007fa	54	0.000013	1	22801754177
4007fe	54	0.000000	1	22801754177
400800	54	0.000000	1	22801754177
400804	54	0.000000	1	22801754177
400806	54	0.000000	1	22801754177
40080a	54	0.000000	1	22801754177
40081c	54	0.000000	1	22801754177
400820	54	0.000000	1	22801754177
400824	56	0.000000	1	22801754177
400843	56	0.000000	1	22801754177
400848	56	0.000013	1	22801754177
4007e8	19	0.000000	1	31
4007ed	19	0.000000	1	31
4007f2	11	0.000000	1	31
4007f6	11	0.000000	1	31
4007fa	11	0.000000	1	31
4007fe	11	0.000000	1	31
400800	11	0.000000	1	31
400804	11	0.000000	1	31
400806	11	0.000000	1	31
40080a	11	0.000000	1	31
40081c	11	0.000000	1	31
400820	11	0.000000	1	31
400824	10	0.000000	1	31
400843	10	0.000000	1	31
