400139	65	0.000000	100	22801754177
40013d	34	0.000000	100	22801754177
40013f	16	0.000000	100	22801754177
400142	60	0.000000	100	22801754177
400145	51	0.000000	100	22801754177
400148	52	0.000000	100	22801754177
40014f	52	0.000000	100	22801754177
400139	45	0.000000	100	37100281
40013d	23	0.000000	100	37100281
40013f	11	0.000000	100	37100281
400142	41	0.000000	100	37100281
400145	36	0.000000	100	37100281
400148	37	0.000000	100	37100281
40014f	37	0.000000	100	37100281
400139	68	0.000000	1	22801754177
40013d	36	0.000000	1	22801754177
40013f	18	0.000026	1	22801754177
400142	68	0.000000	1	22801754177
400145	53	0.000000	1	22801754177
400148	54	0.000000	1	22801754177
40014f	54	0.000000	1	22801754177
400139	5	0.000000	1	31
40013d	4	0.000000	1	31
40013f	3	0.000000	1	31
400142	4	0.000000	1	31
400145	2	0.000000	1	31
400148	2	0.000000	1	31
40014f	2	0.000000	1	31
400139	15	0.000000	1	317
40013d	9	0.000000	1	317
40013f	5	0.000000	1	317
400142	15	0.000000	1	317
400145	12	0.000000	1	317
400148	13	0.000000	1	317
40014f	13	0.000000	1	317
400139	53	0.000000	1	37100281
40013d	30	0.000000	1	37100281
40013f	17	0.000000	1	37100281
400142	50	0.000000	1	37100281
400145	39	0.000000	1	37100281
400148	40	0.000000	1	37100281
40014f	39	0.000000	1	37100281
400139	67	0.000000	250	22801754177
40013d	35	0.000000	250	22801754177
40013f	17	0.000000	250	22801754177
400142	60	0.000000	250	22801754177
400145	52	0.000000	250	22801754177
400148	53	0.000000	250	22801754177
40014f	53	0.000000	250	22801754177
400139	47	0.000000	250	37100281
40013d	24	0.000000	250	37100281
40013f	12	0.000000	250	37100281
400142	39	0.000000	250	37100281
400145	34	0.000000	250	37100281
400148	35	0.000000	250	37100281
40014f	35	0.000000	250	37100281
400139	65	0.000000	500	22801754177
40013d	34	0.000000	500	22801754177
40013f	16	0.000000	500	22801754177
400142	58	0.000000	500	22801754177
400145	51	0.000000	500	22801754177
400148	52	0.000000	500	22801754177
40014f	52	0.000000	500	22801754177
400139	43	0.000000	500	37100281
40013d	21	0.000000	500	37100281
40013f	9	0.000000	500	37100281
400142	34	0.000000	500	37100281
400145	32	0.000000	500	37100281
400148	33	0.000000	500	37100281
40014f	33	0.000000	500	37100281
400139	67	0.000000	50	22801754177
40013d	35	0.000000	50	22801754177
40013f	17	0.000000	50	22801754177
400142	62	0.000000	50	22801754177
400145	52	0.000000	50	22801754177
400148	53	0.000000	50	22801754177
40014f	53	0.000000	50	22801754177
400139	49	0.000000	50	37100281
40013d	26	0.000000	50	37100281
40013f	13	0.000000	50	37100281
400142	43	0.000000	50	37100281
400145	37	0.000000	50	37100281
400148	38	0.000000	50	37100281
40014f	38	0.000000	50	37100281
